init_path,GROWTH_RATE,p_threshold,noise,plot_theory,T_FINAL,T_STEP,N_FRAME
"""001""",30,5,0,1,0.08,1.00E-07,213
"""001""",30,5,3,0,0.08,1.00E-07,213
"""001""",30,8,0,1,0.07,1.00E-07,187
"""001""",30,8,3,0,0.07,1.00E-07,187
"""001""",30,10,0,1,0.06,1.00E-07,160
"""001""",30,10,3,0,0.06,1.00E-07,160
"""001""",30,20,0,1,0.05,1.00E-07,133
"""001""",30,20,3,0,0.05,1.00E-07,133
"""002""",40,7,0,1,0.06,8.00E-08,160
"""002""",40,7,3,0,0.06,8.00E-08,160
"""002""",40,11,0,1,0.0525,8.00E-08,140
"""002""",40,11,3,0,0.0525,8.00E-08,140
"""002""",40,13,0,1,0.045,8.00E-08,120
"""002""",40,13,3,0,0.045,8.00E-08,120
"""002""",40,27,0,1,0.0375,8.00E-08,100
"""002""",40,27,3,0,0.0375,8.00E-08,100
